seed,condition,comp_state,comp_rulefield,distinct_t0,distinct_final
50,read_from_state,0.1332,,,
51,uniform_4,0.0264,,,
51,uniform_30,1.0044,,,
51,uniform_90,1.0044,,,
51,uniform_110,0.8968,,,
51,frozen_random,0.104,,,
51,frozen_mosaic,0.0896,,,
51,gated_diffusion,0.1084,0.09325,83.0,22.0
51,read_from_state,0.2264,,,
52,uniform_4,0.0264,,,
52,uniform_30,1.0044,,,
52,uniform_90,1.0044,,,
52,uniform_110,0.7712,,,
52,frozen_random,0.0828,,,
52,frozen_mosaic,0.0316,,,
52,gated_diffusion,0.1264,0.08904999999999999,80.0,18.0
52,read_from_state,0.1408,,,
53,uniform_4,0.0268,,,
53,uniform_30,1.0044,,,
53,uniform_90,1.0044,,,
53,uniform_110,0.6392,,,
53,frozen_random,0.1664,,,
53,frozen_mosaic,1.0044,,,
53,gated_diffusion,0.1428,0.10335,77.0,21.0
53,read_from_state,0.3032,,,
54,uniform_4,0.0264,,,
54,uniform_30,1.0044,,,
54,uniform_90,1.0044,,,
54,uniform_110,0.6868,,,
54,frozen_random,0.1772,,,
54,frozen_mosaic,0.1736,,,
54,gated_diffusion,0.1208,0.09764999999999999,80.0,17.0
54,read_from_state,0.1824,,,
55,uniform_4,0.0272,,,
55,uniform_30,1.0044,,,
55,uniform_90,1.0044,,,
55,uniform_110,0.8164,,,
55,frozen_random,0.0796,,,
55,frozen_mosaic,0.0356,,,
55,gated_diffusion,0.134,0.10515,84.0,19.0
55,read_from_state,0.306,,,
56,uniform_4,0.0268,,,
56,uniform_30,1.0044,,,
56,uniform_90,1.0044,,,
56,uniform_110,0.8368,,,
56,frozen_random,0.2536,,,
56,frozen_mosaic,1.0044,,,
56,gated_diffusion,0.0988,0.08655,84.0,23.0
56,read_from_state,0.2768,,,
57,uniform_4,0.0264,,,
57,uniform_30,1.0044,,,
57,uniform_90,1.0044,,,
57,uniform_110,0.7988,,,
57,frozen_random,0.1552,,,
57,frozen_mosaic,0.0468,,,
57,gated_diffusion,0.1952,0.1117,82.0,17.0
57,read_from_state,0.26,,,
58,uniform_4,0.0264,,,
58,uniform_30,1.0044,,,
58,uniform_90,1.0044,,,
58,uniform_110,0.8272,,,
58,frozen_random,0.3776,,,
58,frozen_mosaic,0.3152,,,
58,gated_diffusion,0.1272,0.10364999999999999,82.0,15.0
58,read_from_state,0.122,,,
59,uniform_4,0.0264,,,
59,uniform_30,1.0044,,,
59,uniform_90,1.0044,,,
59,uniform_110,0.9248,,,
59,frozen_random,0.2844,,,
59,frozen_mosaic,0.4692,,,
59,gated_diffusion,0.1084,0.09425,79.0,23.0
59,read_from_state,0.2872,,,
